State,Unnamed: 0left,FIPSleft,Next Import Probabilityleft,Reported Countsleft,Unnamed: 0right,FIPSright,Next Import Probabilityright,Reported Countsright
Alabama,2211,71489,0.0027079438330308535,0.0,0.0,0.0,0.0,0.0
Arizona,1036,56195,0.0034190517818430935,0.0,74.0,4013.0,0.0133307824745331,20.0
Arkansas,8925,380625,0.0006522041207600159,0.0,0.0,0.0,0.0,0.0
California,10759,351364,0.07487593357428829,0.0,0.0,0.0,0.0,0.0
Colorado,15328,499947,0.008860958390236618,0.0,448.0,16036.0,0.007743228140125,14.0
Connecticut,1418,45051,0.0008092031904648881,0.0,842.0,27013.0,0.0128787939068524,22.0
Delaware,864,30009,0.002652055771202153,0.0,0.0,0.0,0.0,0.0
Florida,20027,748213,0.026775342888832657,0.0,1614.0,60337.0,0.017593388525829798,32.0
Georgia,67309,2027202,0.003414407159921322,0.0,2015.0,65475.0,0.027027483473529,59.0
Idaho,23650,705936,0.0004617094179805776,0.0,0.0,0.0,0.0,0.0
Illinois,61696,1727373,0.011448839386133641,0.0,575.0,17031.0,0.0173688894751469,29.0
Indiana,64380,1646367,0.0014595993346071118,0.0,710.0,18097.0,0.007821016312636,9.0
Iowa,78667,1871648,0.0008838842465582462,0.0,830.0,19153.0,0.0012615697644816,7.0
Kansas,93188,2070761,0.00045247945397214367,0.0,1837.0,40264.0,0.0060994454369617,11.0
Kentucky,122100,2534400,0.005193990079323479,0.0,0.0,0.0,0.0,0.0
Louisiana,71008,1412096,0.0022389955781264297,0.0,0.0,0.0,0.0,0.0
Maine,17248,345251,6.151910789596457e-05,0.0,1144.0,23005.0,0.0041586682870489,11.0
Maryland,19886,408449,0.0003537008045914928,0.0,8182.0,168630.0,0.1085922712267632,237.0
Massachusetts,10679,225091,0.018828360925040578,0.0,5960.0,125105.0,0.0350693157356584,80.0
Michigan,96396,2034294,0.0019773314999721285,0.0,6275.0,130595.0,0.0269610909172779,34.0
Minnesota,111089,2275390,0.0027635030693355872,0.0,3925.0,81179.0,0.016295974991576402,44.0
Mississippi,115333,2302724,0.0007212926235228834,0.0,0.0,0.0,0.0,0.0
Missouri,171532,3319348,0.00395082187924982,0.0,1543.0,29189.0,0.009119037722203,5.0
Montana,89068,1683136,0.0003670887105624061,0.0,0.0,0.0,0.0,0.0
Nebraska,154845,2891649,0.0027930729141124352,0.0,0.0,0.0,0.0,0.0
Nevada,29240,544774,0.004445130433994142,0.0,0.0,0.0,0.0,0.0
New Hampshire,15601,297089,0.0011327613968158444,0.0,1734.0,33011.0,0.0030079543993129,6.0
New Jersey,24499,476320,0.013067105237955576,0.0,12230.0,238121.0,0.0354929243161839,103.0
New Mexico,58608,1155995,0.003892169352528343,0.0,0.0,0.0,0.0,0.0
New York,91191,1803132,0.0014413050714458346,0.0,21866.0,432712.0,0.1682184230282171,280.0
North Carolina,182809,3561554,0.001291514850245619,0.0,7641.0,148446.0,0.022808946379949,33.0
North Dakota,103030,1978792,0.0001829134987194708,0.0,1963.0,38017.0,0.0005532014172691,6.0
Ohio,172373,3283486,0.002742096648089106,0.0,8159.0,156258.0,0.026642106255647998,44.0
Oklahoma,164318,3085929,0.0024979804058750136,0.0,0.0,0.0,0.0,0.0
Oregon,76660,1436245,0.004681657794712181,0.0,2198.0,41051.0,0.0061997010591741,7.0
Pennsylvania,139070,2608286,0.012740287461186547,0.0,11144.0,210203.0,0.0311512857802631,68.0
Rhode Island,9111,176018,0.00010283459944494611,0.0,2279.0,44007.0,0.0038292400513018,10.0
South Carolina,105961,2072116,0.002700016799944502,0.0,0.0,0.0,0.0,0.0
South Dakota,150960,2948284,0.00024601655437673354,0.0,2375.0,46099.0,0.0003440742802733,6.0
Tennessee,231705,4474025,0.015234688129833775,0.0,0.0,0.0,0.0,0.0
Texas,643305,11871252,0.0184236588484703,0.0,20524.0,385264.0,0.0595960011989321,123.0
Utah,79895,1421841,0.005499765965735195,0.0,0.0,0.0,0.0,0.0
Vermont,38871,700196,0.0009838352482867813,0.0,0.0,0.0,0.0,0.0
Virginia,272056,4908688,0.0025063424284273972,0.0,11294.0,204332.0,0.0326040314211282,51.0
Washington,107403,1962427,0.00338064690077658,0.0,5814.0,106094.0,0.0124361949063748,27.0
West Virginia,162250,2973025,0.00017165920542099082,0.0,0.0,0.0,0.0,0.0
Wisconsin,216972,3965119,0.010214128198866565,0.0,0.0,0.0,0.0,0.0
Wyoming,70403,1288529,9.315434261941644e-05,0.0,0.0,0.0,0.0,0.0
